,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Not started","Education,Out of school youth","Education,Out of school youth,female","Education,Out of school youth,male","Education,Post baccalaureate","Education,Postsecondary","Education,Preschool","Education,Special education"
322,125.686,7.3056,11/11/2017,"Sat - Nov 11, 2017",14:34:00,THEFT,Santo Niño (Pob.),Panabo City,Shoplifting,urban,5.89,396,346,545,"1,222",13,1,159,101,58,4,76,0,1
323,125.679,7.29652,11/11/2017,"Sat - Nov 11, 2017",19:00:00,MURDER,Gredu (Pob.),Panabo City,Shooting,urban,22.51,"1,512","1,321","2,080","4,666",49,3,607,388,221,14,291,1,3
324,125.803,7.45697,12/11/2017,"Sun - Nov 12, 2017",3:30:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Stoning,urban,10.74,"1,735","1,333","1,551","3,553",47,0,517,332,187,30,388,1,1
325,125.825,7.422160000000001,12/11/2017,"Sun - Nov 12, 2017",21:45:00,THEFT,Apokon,Tagum City,Salisi,urban,22.88,"3,694","2,838","3,302","7,567",100,0,1100,708,398,65,826,2,3
326,125.80799999999999,7.44837,12/11/2017,"Sun - Nov 12, 2017",21:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo East,Tagum City,Swpu (Stolen While Parked),urban,11.1,"1,792","1,377","1,602","3,671",49,0,534,343,193,31,401,1,1
327,125.803,7.45752,12/11/2017,"Sun - Nov 12, 2017",22:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,Swpu (Stolen While Parked),urban,10.74,"1,735","1,333","1,551","3,553",47,0,517,332,187,30,388,1,1
328,125.79799999999999,7.43618,12/11/2017,"Sun - Nov 12, 2017",14:00:00,RAPE (Art. 266-A RC & R.A.8353),Visayan Village,Tagum City,Grave Abuse of Authority,urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
329,125.79899999999999,7.43475,12/11/2017,"Sun - Nov 12, 2017",10:00:00,THEFT,Visayan Village,Tagum City,Salisi,urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
330,125.772,7.441560000000001,13/11/2017,"Mon - Nov 13, 2017",1:10:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,San Miguel (Camp 4),Tagum City,Swpu (Stolen While Parked),urban,13.32,"2,151","1,652","1,923","4,406",58,0,641,412,231,38,481,1,2
331,125.803,7.44705,13/11/2017,"Mon - Nov 13, 2017",2:30:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,urban,2.43,393,302,351,805,11,0,117,75,42,7,88,0,0
332,125.74600000000001,6.95178,13/11/2017,"Mon - Nov 13, 2017",15:30:00,PHYSICAL INJURIES,Libertad,Samal City,Shooting,rural,6.81,128,137,494,636,16,0,87,54,32,2,27,0,0
333,125.59899999999999,7.29811,13/11/2017,"Mon - Nov 13, 2017",15:00:00,MURDER,Kauswagan,Panabo City,Shooting,rural,1.93,130,113,178,400,4,0,52,33,19,1,25,0,0
334,125.678,7.08731,13/11/2017,"Mon - Nov 13, 2017",17:00:00,RAPE (Art. 266-A RC & R.A.8353),Limao,Samal City,"Force, Threat and Intimidation",rural,7.13,134,144,518,667,17,0,91,57,34,2,28,0,0
335,125.804,7.4584600000000005,14/11/2017,"Tue - Nov 14, 2017",4:49:00,ROBBERY,Magugpo West,Tagum City,Breaking and Entering,urban,10.74,"1,735","1,333","1,551","3,553",47,0,517,332,187,30,388,1,1
336,125.8,7.43565,15/11/2017,"Wed - Nov 15, 2017",5:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
337,125.804,7.447139999999999,15/11/2017,"Wed - Nov 15, 2017",22:30:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Mauling,urban,2.43,393,302,351,805,11,0,117,75,42,7,88,0,0
338,125.8,7.43475,15/11/2017,"Wed - Nov 15, 2017",19:30:00,ROBBERY,Visayan Village,Tagum City,Snatching,urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
339,125.815,7.453310000000001,15/11/2017,"Wed - Nov 15, 2017",7:00:00,ROBBERY,Magugpo North,Tagum City,Breaking and Entering,urban,7.19,"1,161",892,"1,037","2,377",31,0,346,222,125,20,260,1,1
