,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Marital Status,Common law/livein","Marital Status,Common law/livein,female","Marital Status,Common law/livein,male","Marital Status,Divorced/Separated","Marital Status,Divorced/Separated,female","Marital Status,Divorced/Separated,male","Marital Status,Married","Marital Status,Married,female","Marital Status,Married,male","Marital Status,Single","Marital Status,Single,female","Marital Status,Single,male","Marital Status,Unknown","Marital Status,Unknown,female","Marital Status,Unknown,male","Marital Status,Widowed","Marital Status,Widowed,female","Marital Status,Widowed,male"
647,125.68,7.3,31/03/2018,"Sat - Mar 31, 2018",5:30:00,ROBBERY,Gredu (Pob.),Panabo City,Breaking and Entering,urban,22.51,1469,732,737,187,113,74,5592,2801,2792,"5,590","2,542","3,047",1,1,1,561,426,135
648,125.588,7.32935,31/03/2018,"Sat - Mar 31, 2018",16:50:00,HOMICIDE,Kasilak,Panabo City,Stabbing/Hacking,urban,3.79,248,123,124,31,19,12,942,472,470,942,428,513,0,0,0,94,72,23
649,125.711,7.071510000000001,01/04/2018,"Sun - Apr 1, 2018",14:05:00,PHYSICAL INJURIES,Peñaplata (Pob.),Samal City,Stabbing/Hacking,urban,17.42,585,293,292,71,38,33,2137,1070,1067,"1,975",845,1129,2,1,0,229,170,60
650,125.795,7.477410000000001,02/04/2018,"Mon - Apr 2, 2018",3:30:00,MURDER,La Filipina,Tagum City,Shooting,urban,11.84,1383,695,689,200,124,76,5115,2566,2548,"5,491","2,567","2,924",1,1,0,557,428,128
651,125.79299999999999,7.499689999999999,02/04/2018,"Mon - Apr 2, 2018",8:30:00,MURDER,Cuambogan,Tagum City,Shooting,urban,8.16,954,479,475,138,85,52,3527,1770,1757,"3,786","1,770","2,016",1,0,0,384,295,89
652,125.823,7.425330000000001,02/04/2018,"Mon - Apr 2, 2018",11:15:00,PHYSICAL INJURIES,Apokon,Tagum City,Shooting,urban,22.88,2673,1342,1331,386,240,147,9885,4960,4925,"10,611","4,961","5,650",1,1,0,1076,827,248
653,125.772,7.44448,02/04/2018,"Mon - Apr 2, 2018",19:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,San Miguel (Camp 4),Tagum City,Swpu (Stolen While Parked),urban,13.32,1557,782,775,225,140,85,5755,2888,2867,"6,178","2,888","3,290",1,1,0,626,482,145
654,125.74600000000001,7.00749,19/03/2018,"Mon - Mar 19, 2018",10:00:00,RAPE (Art. 266-A RC & R.A.8353),Anonang,Samal City,"Force, Threat and Intimidation",rural,7.12,239,120,119,29,16,13,874,438,436,807,346,462,1,1,0,94,69,24
655,125.76700000000001,7.440010000000001,03/04/2018,"Tue - Apr 3, 2018",20:49:00,MURDER,San Miguel (Camp 4),Tagum City,Clubbing,urban,13.32,1557,782,775,225,140,85,5755,2888,2867,"6,178","2,888","3,290",1,1,0,626,482,145
656,125.781,7.46175,04/04/2018,"Wed - Apr 4, 2018",8:20:00,ROBBERY,Mankilam,Tagum City,Cellphone Snatching,urban,29.97,3502,1759,1744,506,314,192,12949,6497,6451,"13,900","6,499","7,402",2,2,0,1409,1084,325
657,125.774,7.44331,05/04/2018,"Thu - Apr 5, 2018",0:45:00,ROBBERY,San Miguel (Camp 4),Tagum City,Hold-Up W/ Gun,urban,13.32,1557,782,775,225,140,85,5755,2888,2867,"6,178","2,888","3,290",1,1,0,626,482,145
658,125.76,7.377489999999999,04/04/2018,"Wed - Apr 4, 2018",9:11:00,MURDER,Bincungan,Tagum City,Stabbing/Hacking,rural,3.25,380,191,189,55,34,21,1405,705,700,"1,508",705,803,0,0,0,153,118,35
659,125.758,7.47365,05/04/2018,"Thu - Apr 5, 2018",3:00:00,ROBBERY,Pagsabangan,Tagum City,Hold-Up W/ Gun,rural,4.04,472,237,235,68,42,26,1745,875,869,"1,873",876,997,0,0,0,190,146,44
660,125.786,7.49945,05/04/2018,"Thu - Apr 5, 2018",18:40:00,MURDER,Cuambogan,Tagum City,Shooting,urban,8.16,954,479,475,138,85,52,3527,1770,1757,"3,786","1,770","2,016",1,0,0,384,295,89
661,125.79700000000001,7.4469899999999996,05/04/2018,"Thu - Apr 5, 2018",23:00:00,ROBBERY,Magugpo South,Tagum City,Breaking and Entering,urban,8.33,974,489,485,141,87,53,3600,1806,1793,"3,864","1,807","2,058",1,0,0,392,301,90
662,125.611,7.40207,06/04/2018,"Fri - Apr 6, 2018",15:10:00,THEFT,A. O. Floirendo,Panabo City,Plain Theft,urban,6.6,431,215,216,55,33,22,1639,821,818,1638,745,893,0,0,0,164,125,40
663,125.556,7.25335,06/04/2018,"Fri - Apr 6, 2018",16:25:00,HOMICIDE,Santa Cruz,Panabo City,Stabbing/Hacking,rural,1.66,108,54,54,14,8,5,413,207,206,413,188,225,0,0,0,41,31,10
664,125.686,7.306,07/04/2018,"Sat - Apr 7, 2018",17:30:00,THEFT,Santo Niño (Pob.),Panabo City,Shoplifting,urban,5.89,385,192,193,49,30,19,1464,733,731,"1,464",666,798,0,0,0,147,111,35
665,125.68,7.3007800000000005,07/04/2018,"Sat - Apr 7, 2018",19:43:00,MURDER,Gredu (Pob.),Panabo City,Shooting,urban,22.51,1469,732,737,187,113,74,5592,2801,2792,"5,590","2,542","3,047",1,1,1,561,426,135
